num_v, max_deg_v, num_v_in_u, leng_path, approximation_diameter, rounds_build_u_and_build_path
200, 37, 38, 6, 12, 17
210, 37, 39, 9, 12, 16
300, 31, 42, 14, 16, 19
310, 31, 44, 12, 16, 19
400, 40, 58, 14, 16, 20
410, 40, 61, 15, 16, 20
500, 48, 128, 14, 16, 20
510, 18, 151, 24, 54, 33
600, 19, 171, 26, 54, 33
610, 19, 174, 26, 54, 33
700, 23, 191, 26, 56, 34
710, 23, 193, 26, 56, 34
800, 24, 217, 30, 54, 34
810, 24, 219, 29, 56, 34
900, 26, 238, 29, 54, 33
910, 27, 239, 29, 56, 34
1000, 30, 253, 28, 56, 34
1010, 30, 255, 29, 56, 34
1100, 20, 315, 42, 94, 53
1110, 20, 317, 42, 92, 52
